file_name,isin,Regulation,identifier
20200915_MATAFIN_CDS_deliverable-obligations,XS1756324924,Rule144A,20200915_MATAFIN_CDS
20200915_MATAFIN_CDS_deliverable-obligations,XS1756324924,RegulationS,20200915_MATAFIN_CDS
20200915_MATAFIN_CDS_deliverable-obligations,XS1756324411,Rule144A,20200915_MATAFIN_CDS
20200915_MATAFIN_CDS_deliverable-obligations,XS1756324411,RegulationS,20200915_MATAFIN_CDS
20200915_MATAFIN_CDS_deliverable-obligations,XS1756325491,Rule144A,20200915_MATAFIN_CDS
20200915_MATAFIN_CDS_deliverable-obligations,XS1756325491,RegulationS,20200915_MATAFIN_CDS
20200915_MATAFIN_CDS_deliverable-obligations,XS1756324684,Rule144A,20200915_MATAFIN_CDS
20200915_MATAFIN_CDS_deliverable-obligations,XS1756324684,RegulationS,20200915_MATAFIN_CDS
