file_name,isin,Regulation,identifier
20090618_jscali_CDS_deliverable-obligations.xls,XS0234283264,,20090618_jscali_CDS
20090618_jscali_CDS_deliverable-obligations.xls,XS0308183853,,20090618_jscali_CDS
20090618_jscali_CDS_deliverable-obligations.xls,XS0251846969,,20090618_jscali_CDS
20090618_jscali_CDS_deliverable-obligations.xls,XS0268818118,RegSNotes,20090618_jscali_CDS
20090618_jscali_CDS_deliverable-obligations.xls,US00156EAA91,144ANotes,20090618_jscali_CDS
20090618_jscali_CDS_deliverable-obligations.xls,XS0284859054,,20090618_jscali_CDS
20090618_jscali_CDS_deliverable-obligations.xls,XS0286552400,,20090618_jscali_CDS
