file_name,isin,Regulation,identifier
20230413_DIAMSPO_CDS_deliverable-obligations,US25277LAF31,144a,20230413_DIAMSPO_CDS
20230413_DIAMSPO_CDS_deliverable-obligations,USU2527JAD73,RegS,20230413_DIAMSPO_CDS
20230413_DIAMSPO_CDS_deliverable-obligations,US25277LAA44,144a,20230413_DIAMSPO_CDS
20230413_DIAMSPO_CDS_deliverable-obligations,USU2527JAA35,RegS,20230413_DIAMSPO_CDS
20230413_DIAMSPO_CDS_deliverable-obligations,US25277LAC00,144a,20230413_DIAMSPO_CDS
20230413_DIAMSPO_CDS_deliverable-obligations,USU2527JAB18,RegS,20230413_DIAMSPO_CDS
