file_name,isin,cusip,identifier
20081023_washmu_CDS_deliverable-obligations,US939322AL70,939322AL7,20081023_washmu_CDS
20081023_washmu_CDS_deliverable-obligations,US939322AP84,939322AP8,20081023_washmu_CDS
20081023_washmu_CDS_deliverable-obligations,US939322AQ67,939322AQ6,20081023_washmu_CDS
20081023_washmu_CDS_deliverable-obligations,US939322AS24,939322AS2,20081023_washmu_CDS
20081023_washmu_CDS_deliverable-obligations,US939322AT07,939322ATO,20081023_washmu_CDS
20081023_washmu_CDS_deliverable-obligations,US939322AU79,939322AU7,20081023_washmu_CDS
20081023_washmu_CDS_deliverable-obligations,US939322AV52,939322AV5,20081023_washmu_CDS
20081023_washmu_CDS_deliverable-obligations,US939322AW36,939322AW3,20081023_washmu_CDS
20081023_washmu_CDS_deliverable-obligations,US939322AX19,939322AX1,20081023_washmu_CDS
