file_name,isin,Regulation,identifier
20120509_SIFO_CDS_deliverable-obligations,US82934HAB78,Rule144A,20120509_SIFO_CDS
20120509_SIFO_CDS_deliverable-obligations,USC83912AB84,RegulationS,20120509_SIFO_CDS
20120509_SIFO_CDS_deliverable-obligations,US82934HAC51,Rule144A,20120509_SIFO_CDS
20120509_SIFO_CDS_deliverable-obligations,USC83912AC67,RegulationS,20120509_SIFO_CDS
20120509_SIFO_CDS_deliverable-obligations,US82934HAD35,Rule144A,20120509_SIFO_CDS
20120509_SIFO_CDS_deliverable-obligations,USC83912AD41,RegulationS,20120509_SIFO_CDS
20120509_SIFO_CDS_deliverable-obligations,US82934HAF82,Rule144A,20120509_SIFO_CDS
20120509_SIFO_CDS_deliverable-obligations,USC83912AF98,RegulationS,20120509_SIFO_CDS
